Timestamp,Empty Seats Count
2023-11-10 13:45:45.019229,10
2023-11-10 13:45:45.446963,10
2023-11-10 13:45:45.827463,10
2023-11-10 13:45:46.143217,10
2023-11-10 13:45:46.462466,8
2023-11-10 13:45:46.776696,9
2023-11-10 13:45:47.234204,9
2023-11-10 13:45:47.549775,8
2023-11-10 13:45:47.866974,9
2023-11-10 13:45:48.309267,8
2023-11-10 13:45:48.800338,8
2023-11-10 13:45:49.131583,9
2023-11-10 13:45:49.458707,7
2023-11-10 13:45:49.789739,8
2023-11-10 13:45:50.154037,7
2023-11-10 13:45:50.513514,7
2023-11-10 13:45:50.873385,8
2023-11-10 13:45:51.292884,8
2023-11-10 13:45:51.649139,7
2023-11-10 13:45:51.997334,8
2023-11-10 13:45:52.402672,8
2023-11-10 13:45:52.722110,8
2023-11-10 13:45:53.047533,7
2023-11-10 13:45:53.400406,6
2023-11-10 13:45:53.755746,8
2023-11-10 13:45:54.086434,7
2023-11-10 13:45:54.427090,7
2023-11-10 13:45:54.786934,6
2023-11-10 13:45:55.348177,6
2023-11-10 13:45:55.914795,6
2023-11-10 13:45:56.307702,8
2023-11-10 13:45:56.657989,8
2023-11-10 13:45:57.010952,8
2023-11-10 13:45:57.344281,8
2023-11-10 13:45:57.668384,8
2023-11-10 13:45:58.003444,7
2023-11-10 13:45:58.566061,8
2023-11-10 13:45:59.133410,8
2023-11-10 13:45:59.503377,9
2023-11-10 13:46:00.059021,10
2023-11-10 13:46:00.385434,10
2023-11-10 13:46:00.775211,10
2023-11-10 13:46:01.091616,10
2023-11-10 13:46:01.405520,10
2023-11-10 13:46:01.720977,10
2023-11-10 13:46:02.033261,9
2023-11-10 13:46:02.346252,9
2023-11-10 13:46:02.659027,9
2023-11-10 13:46:02.973780,10
2023-11-10 13:46:03.289372,9
2023-11-10 13:46:03.771458,9
2023-11-10 13:46:04.207577,9
2023-11-10 13:46:04.525817,10
2023-11-10 13:46:04.845873,10
2023-11-10 13:46:05.165640,9
2023-11-10 13:46:05.484704,9
2023-11-10 13:46:05.804073,9
2023-11-10 13:46:06.123852,10
2023-11-10 13:46:06.441430,9
2023-11-10 13:46:06.760693,9
2023-11-10 13:46:07.081289,9
2023-11-10 13:46:07.401220,9
2023-11-10 13:46:07.718420,10
2023-11-10 13:46:08.036912,10
2023-11-10 13:46:08.350341,9
2023-11-10 13:46:08.901539,11
2023-11-10 13:46:09.219421,9
2023-11-10 13:46:09.774926,10
2023-11-10 13:46:10.099893,11
2023-11-10 13:46:10.416538,8
2023-11-10 13:46:10.732808,11
2023-11-10 13:46:11.207473,11
2023-11-10 13:46:11.527157,10
2023-11-10 13:46:12.083919,11
2023-11-10 13:46:12.616534,10
2023-11-10 13:46:12.939436,11
2023-11-10 13:46:13.378843,11
2023-11-10 13:46:13.702680,10
2023-11-10 13:46:14.041753,11
2023-11-10 13:46:14.592327,11
2023-11-10 13:46:15.148740,11
2023-11-10 13:46:15.551363,11
2023-11-10 13:46:16.108647,12
2023-11-10 13:46:16.438614,10
2023-11-10 13:46:16.995905,9
2023-11-10 13:46:17.321481,10
2023-11-10 13:46:17.642911,9
2023-11-10 13:46:17.970942,9
2023-11-10 13:46:18.294026,10
2023-11-10 13:46:18.618533,10
2023-11-10 13:46:18.940860,10
2023-11-10 13:46:19.499397,10
2023-11-10 13:46:20.058075,10
2023-11-10 13:46:20.384731,9
2023-11-10 13:46:20.944552,8
2023-11-10 13:46:21.310055,9
2023-11-10 13:46:21.719757,9
2023-11-10 13:46:22.042083,10
2023-11-10 13:46:22.363629,10
2023-11-10 13:46:22.687632,10
2023-11-10 13:46:23.099910,10
2023-11-10 13:46:23.657502,11
2023-11-10 13:46:24.083278,11
2023-11-10 13:46:24.407289,9
2023-11-10 13:46:24.751868,10
2023-11-10 13:46:25.105651,10
2023-11-10 13:46:25.665187,10
2023-11-10 13:46:26.221919,10
2023-11-10 13:46:26.594687,11
2023-11-10 13:46:26.966167,10
2023-11-10 13:46:27.335639,10
2023-11-10 13:46:27.698290,10
2023-11-10 13:46:28.146378,11
2023-11-10 13:46:28.510050,11
2023-11-10 13:46:28.824399,11
2023-11-10 13:46:29.150715,11
2023-11-10 13:46:29.473083,11
2023-11-10 13:46:29.792743,10
2023-11-10 13:46:30.113927,11
2023-11-10 13:46:30.427158,11
2023-11-10 13:46:30.752078,11
2023-11-10 13:46:31.076446,11
2023-11-10 13:46:31.400689,11
2023-11-10 13:46:31.883462,11
2023-11-10 13:46:32.439997,10
2023-11-10 13:46:32.998994,10
2023-11-10 13:46:33.326593,9
2023-11-10 13:46:33.660985,10
2023-11-10 13:46:34.218526,10
2023-11-10 13:46:34.780943,9
2023-11-10 13:46:35.341403,10
2023-11-10 13:46:35.695281,10
2023-11-10 13:46:36.254325,11
2023-11-10 13:46:36.816799,10
2023-11-10 13:46:37.144840,11
2023-11-10 13:46:37.468771,11
2023-11-10 13:46:37.793157,11
2023-11-10 13:46:38.127491,11
2023-11-10 13:46:38.483414,11
2023-11-10 13:46:38.810008,11
2023-11-10 13:46:39.370023,11
2023-11-10 13:46:39.744352,11
2023-11-10 13:46:40.069448,11
2023-11-10 13:46:40.394107,11
2023-11-10 13:46:40.716123,11
2023-11-10 13:46:41.042446,11
2023-11-10 13:46:41.397258,10
2023-11-10 13:46:41.868781,10
2023-11-10 13:46:42.288868,10
2023-11-10 13:46:42.660162,11
2023-11-10 13:46:43.101936,11
2023-11-10 13:46:43.427304,12
2023-11-10 13:46:43.752440,12
2023-11-10 13:46:44.073075,12
2023-11-10 13:46:44.547976,11
2023-11-10 13:46:44.985606,11
2023-11-10 13:46:45.310080,10
2023-11-10 13:46:45.638399,11
2023-11-10 13:46:46.065224,11
2023-11-10 13:46:46.489520,12
2023-11-10 13:46:46.909534,12
2023-11-10 13:46:47.326122,10
2023-11-10 13:46:47.648983,12
2023-11-10 13:46:47.993868,11
2023-11-10 13:46:48.369403,10
2023-11-10 13:46:48.790167,10
2023-11-10 13:46:49.124365,11
2023-11-10 13:46:49.447506,11
2023-11-10 13:46:49.857400,11
2023-11-10 13:46:50.256654,11
2023-11-10 13:46:50.601521,9
2023-11-10 13:46:50.928042,10
2023-11-10 13:46:51.254688,10
2023-11-10 13:46:51.626219,10
2023-11-10 13:46:51.941303,10
2023-11-10 13:46:52.502578,9
2023-11-10 13:46:52.863745,10
2023-11-10 13:46:53.239264,10
2023-11-10 13:46:53.646011,12
2023-11-10 13:46:54.053505,13
2023-11-10 13:46:54.469888,11
2023-11-10 13:46:54.878287,11
2023-11-10 13:46:55.308190,9
2023-11-10 13:46:55.875932,10
2023-11-10 13:46:56.435609,10
2023-11-10 13:46:56.837204,12
2023-11-10 13:46:57.161169,10
2023-11-10 13:46:57.483464,10
2023-11-10 13:46:57.811937,10
2023-11-10 13:46:58.367614,11
2023-11-10 13:46:58.927440,10
2023-11-10 13:46:59.472646,10
2023-11-10 13:46:59.790770,11
2023-11-10 13:47:00.109155,9
