Timestamp,Empty Tables Count
13:25:52,1
13:25:52,1
13:25:53,1
13:25:53,1
13:25:53,1
13:25:54,1
13:25:54,1
13:25:55,1
13:25:55,1
13:25:55,1
13:25:56,1
13:25:56,1
13:25:56,1
13:25:57,0
13:25:57,1
13:25:57,0
13:25:58,0
13:25:58,0
13:25:58,0
13:25:59,0
13:25:59,0
13:26:00,0
13:26:00,0
13:26:00,1
13:26:01,1
13:26:01,0
13:26:02,0
13:26:02,0
13:26:02,0
13:26:03,0
13:26:03,0
13:26:04,0
13:26:04,0
13:26:05,0
13:26:05,0
13:26:05,0
13:26:06,0
13:26:06,0
13:26:06,0
13:26:07,0
13:26:07,0
13:26:07,0
13:26:08,0
13:26:08,0
13:26:08,0
13:26:09,0
13:26:09,0
13:26:09,0
13:26:10,0
13:26:10,0
13:26:10,0
13:26:11,0
13:26:11,0
13:26:12,0
13:26:12,0
