Timestamp,Empty Seats Count
2023-11-10 13:04:34.032246,11
2023-11-10 13:04:34.666772,11
2023-11-10 13:04:34.990594,11
2023-11-10 13:04:35.305324,12
2023-11-10 13:04:35.613945,11
2023-11-10 13:04:35.919720,10
2023-11-10 13:04:36.288342,11
2023-11-10 13:04:36.685490,11
2023-11-10 13:04:36.999930,11
2023-11-10 13:04:37.546042,10
2023-11-10 13:04:38.019969,10
2023-11-10 13:04:38.421287,11
2023-11-10 13:04:38.897995,10
2023-11-10 13:04:39.345196,10
2023-11-10 13:04:39.833910,9
2023-11-10 13:04:40.151131,9
2023-11-10 13:04:40.462114,10
2023-11-10 13:04:40.843464,9
2023-11-10 13:04:41.180545,9
2023-11-10 13:04:41.492478,11
2023-11-10 13:04:41.797867,9
2023-11-10 13:04:42.175189,10
2023-11-10 13:04:42.482460,10
2023-11-10 13:04:42.794114,10
2023-11-10 13:04:43.104419,10
2023-11-10 13:04:43.413137,10
2023-11-10 13:04:43.806779,10
2023-11-10 13:04:44.142704,9
2023-11-10 13:04:44.452618,9
2023-11-10 13:04:44.761545,9
2023-11-10 13:04:45.070517,10
2023-11-10 13:04:45.399294,10
2023-11-10 13:04:45.708920,10
2023-11-10 13:04:46.019582,10
2023-11-10 13:04:46.530746,11
2023-11-10 13:04:46.837160,11
2023-11-10 13:04:47.260575,10
2023-11-10 13:04:47.631108,10
2023-11-10 13:04:47.970070,10
2023-11-10 13:04:48.328619,10
2023-11-10 13:04:48.635267,10
2023-11-10 13:04:48.942558,10
2023-11-10 13:04:49.291700,10
2023-11-10 13:04:49.644399,10
2023-11-10 13:04:49.952210,10
2023-11-10 13:04:50.336744,10
2023-11-10 13:04:50.662706,11
2023-11-10 13:04:51.049988,10
2023-11-10 13:04:51.360967,10
2023-11-10 13:04:51.747715,10
2023-11-10 13:04:52.083819,10
2023-11-10 13:04:52.491001,10
2023-11-10 13:04:52.795101,10
2023-11-10 13:04:53.103630,10
2023-11-10 13:04:53.409180,10
2023-11-10 13:04:53.713379,11
2023-11-10 13:04:54.087734,10
2023-11-10 13:04:54.463856,12
2023-11-10 13:04:54.818812,10
2023-11-10 13:04:55.306685,12
2023-11-10 13:04:55.693919,11
2023-11-10 13:04:56.090819,12
2023-11-10 13:04:56.510473,10
2023-11-10 13:04:56.851960,12
2023-11-10 13:04:57.195419,13
2023-11-10 13:04:57.562533,12
2023-11-10 13:04:57.954793,12
2023-11-10 13:04:58.328727,12
2023-11-10 13:04:58.636319,9
2023-11-10 13:04:58.990368,10
2023-11-10 13:04:59.298679,12
2023-11-10 13:04:59.606823,11
2023-11-10 13:04:59.913282,11
2023-11-10 13:05:00.225382,12
2023-11-10 13:05:00.639568,11
2023-11-10 13:05:00.944485,11
2023-11-10 13:05:01.293912,11
2023-11-10 13:05:01.601689,12
2023-11-10 13:05:01.908804,12
2023-11-10 13:05:02.216616,10
2023-11-10 13:05:02.526642,9
2023-11-10 13:05:02.837234,10
2023-11-10 13:05:03.206295,9
2023-11-10 13:05:03.516397,11
2023-11-10 13:05:03.883020,11
2023-11-10 13:05:04.191116,11
2023-11-10 13:05:04.497859,10
2023-11-10 13:05:04.801776,10
2023-11-10 13:05:05.109986,11
2023-11-10 13:05:05.415864,10
2023-11-10 13:05:05.724725,10
2023-11-10 13:05:06.141194,10
2023-11-10 13:05:06.450400,9
2023-11-10 13:05:06.800328,10
2023-11-10 13:05:07.167032,10
2023-11-10 13:05:07.477470,11
2023-11-10 13:05:07.785837,12
2023-11-10 13:05:08.093268,11
2023-11-10 13:05:08.400332,9
2023-11-10 13:05:08.707244,8
2023-11-10 13:05:09.040967,10
2023-11-10 13:05:09.479031,9
2023-11-10 13:05:09.786133,11
2023-11-10 13:05:10.092312,10
2023-11-10 13:05:10.400154,11
2023-11-10 13:05:10.707022,10
2023-11-10 13:05:11.049585,10
2023-11-10 13:05:11.494872,10
2023-11-10 13:05:11.874263,10
2023-11-10 13:05:12.285587,11
2023-11-10 13:05:12.690884,11
2023-11-10 13:05:13.134653,10
2023-11-10 13:05:13.443354,9
2023-11-10 13:05:13.752066,9
2023-11-10 13:05:14.059975,9
2023-11-10 13:05:14.366340,10
2023-11-10 13:05:14.672886,9
2023-11-10 13:05:14.977468,9
2023-11-10 13:05:15.288810,10
2023-11-10 13:05:15.593574,10
2023-11-10 13:05:15.947206,11
2023-11-10 13:05:16.259626,10
2023-11-10 13:05:16.568762,9
2023-11-10 13:05:16.876723,10
2023-11-10 13:05:17.184923,9
2023-11-10 13:05:17.498935,9
2023-11-10 13:05:17.806803,10
2023-11-10 13:05:18.180257,10
2023-11-10 13:05:18.489170,9
2023-11-10 13:05:18.863732,9
2023-11-10 13:05:19.320975,11
2023-11-10 13:05:19.627847,10
2023-11-10 13:05:19.934635,11
2023-11-10 13:05:20.243720,11
2023-11-10 13:05:20.588498,11
2023-11-10 13:05:20.895349,11
2023-11-10 13:05:21.202801,10
2023-11-10 13:05:21.509860,10
2023-11-10 13:05:21.820118,10
2023-11-10 13:05:22.165581,10
2023-11-10 13:05:22.488391,10
2023-11-10 13:05:22.858694,10
2023-11-10 13:05:23.362498,11
2023-11-10 13:05:23.671930,11
2023-11-10 13:05:24.033777,10
2023-11-10 13:05:24.340565,10
2023-11-10 13:05:24.655610,10
2023-11-10 13:05:24.959584,10
2023-11-10 13:05:25.470712,11
2023-11-10 13:05:26.018220,12
2023-11-10 13:05:26.551259,11
2023-11-10 13:05:27.041204,11
2023-11-10 13:05:27.349565,12
2023-11-10 13:05:27.653946,10
2023-11-10 13:05:27.959269,10
2023-11-10 13:05:28.265107,9
2023-11-10 13:05:28.666827,11
2023-11-10 13:05:28.972171,11
2023-11-10 13:05:29.279921,10
2023-11-10 13:05:29.587795,9
2023-11-10 13:05:29.893363,9
2023-11-10 13:05:30.203353,9
2023-11-10 13:05:30.508379,9
2023-11-10 13:05:30.815539,10
2023-11-10 13:05:31.149774,10
2023-11-10 13:05:31.454638,9
2023-11-10 13:05:31.763426,11
2023-11-10 13:05:32.071487,10
2023-11-10 13:05:32.382238,11
2023-11-10 13:05:32.688310,10
2023-11-10 13:05:32.998362,10
2023-11-10 13:05:33.307133,11
2023-11-10 13:05:33.614792,10
2023-11-10 13:05:34.059580,10
2023-11-10 13:05:34.368828,10
2023-11-10 13:05:34.881236,10
2023-11-10 13:05:35.192100,10
2023-11-10 13:05:35.499485,10
2023-11-10 13:05:35.805236,10
2023-11-10 13:05:36.113732,10
2023-11-10 13:05:36.473765,10
2023-11-10 13:05:36.782519,11
2023-11-10 13:05:37.088642,9
2023-11-10 13:05:37.397861,10
2023-11-10 13:05:37.703618,10
2023-11-10 13:05:38.009133,9
2023-11-10 13:05:38.347996,9
2023-11-10 13:05:38.690479,10
2023-11-10 13:05:39.014239,9
2023-11-10 13:05:39.357022,9
2023-11-10 13:05:39.681868,9
2023-11-10 13:05:40.005770,9
2023-11-10 13:05:40.333945,9
2023-11-10 13:05:40.679750,10
2023-11-10 13:05:41.010473,9
2023-11-10 13:05:41.326230,9
2023-11-10 13:05:41.664306,9
2023-11-10 13:05:42.078602,10
2023-11-10 13:05:42.412834,9
2023-11-10 13:05:42.733922,9
2023-11-10 13:05:43.086300,9
2023-11-10 13:05:43.402484,9
2023-11-10 13:05:43.723509,9
2023-11-10 13:05:44.053105,10
2023-11-10 13:05:44.569232,10
2023-11-10 13:05:44.882532,10
2023-11-10 13:05:45.267778,10
2023-11-10 13:05:45.617076,10
2023-11-10 13:05:46.008115,11
2023-11-10 13:05:46.320880,11
2023-11-10 13:05:46.639692,11
2023-11-10 13:05:46.956568,10
2023-11-10 13:05:47.293031,10
2023-11-10 13:05:47.618182,10
2023-11-10 13:05:48.068999,10
